abbrev,name
ADP,American Delta Party
AMP,America's Party
AMR,American Party
BFA,Better for America
CON,Conservative
CST,Constitution
DCG,DC Statehood Green
DEM,Democrat
GOP,Republican
GRN,Green
IAP,Independent American
IND,Independent
INP,Independence
LIB,Libertarian
LMN,Legal Marijuana Now
LUN,Liberty Union
MNT,Mountain Party
NLP,Natural Law
NP,Non Partisan
NPA,No Party Affiliation
NPD,No Party Designation
NPP,No Party Preference
OTH,Other
PAG,Pacific Green
PCF,United States Pacifist Party
PEC,Petitioning Candidate
PFP,Peace & Freedom
PRG,Progressive
PRO,Prohibition Party
PSL,Party for Socialism and Liberation
RP,Reform
SHP,American Shopping Party
SPU,Socialist Party USA
SWP,Socialist Workers Party
UNA,Unaffiliated
UNR,Unregistered
UST,U.S. Taxpayers
UTY,Unity
VET,Veterans Party of America
WCP,Working Class Party
WF,Working Families
WW,Workers World Party
