key,precincts,name
0609,505,"District 9 - San Joaquin"
0615,593,"District 15 - Hawyard-Livermore"
0606,0,"District 6 - Sacramento"
0632,0,"District 32 - El Monte-Covina"
0637,0,"District 37 - Culver City"
0629,238,"District 29 - East San Fernando Valley"
0617,341,"District 17 - Fremont-Milpitas-Cupertino"
0646,233,"District 46 - Anaheim-Santa Ana"
0626,491,"District 26 - Ventura County"
0618,508,"District 18 - Silicon Valley-Santa Cruz"
0613,0,"District 13 - Berkeley-San Leandro"
0623,430,"District 23 - Southern Sierra-Lancaster"
0652,402,"District 52 - Escondido-San Diego"
0647,361,"District 47 - Long Beach"
0611,475,"District 11 - Contra Costa"
0635,319,"District 35 - Ontario"
0605,546,"District 5 - Lakeport-Santa Rosa-Martinez"
0650,370,"District 50 - East San Diego County"
0619,0,"District 19 - San Jose-Morgan Hill"
0631,540,"District 31 - San Bernardino"
0645,395,"District 45 - Irvine-Mission Viejo"
0614,0,"District 14 - San Mateo"
0636,288,"District 36 - Coachella Valley"
0644,314,"District 44 - Compton-Carson"
0638,0,"District 38 - Whittier"
0625,312,"District 25 - Santa Clarita-Palmdale"
0651,431,"District 51 - South San Deigo-Imperial"
0627,0,"District 27 - Pasadena-Claremont"
0622,234,"District 22 - Clovis-Visalia"
0643,339,"District 43 - Inglewood-Torrance"
0633,423,"District 33 - Coastal Los Angeles"
0649,405,"District 49 - Mission Viejo-Encinitas"
0603,430,"District 3 - Colusa-Yuba-Davis-Fairfield"
0639,384,"District 39 - Fullerton-Yorba Linda"
0602,744,"District 2 - Marin-North Coast"
0628,332,"District 28 - Burbank-Hollywood"
0640,0,"District 40 - East Los Angeles-Downey"
0610,477,"District 10 - Stanislaus"
0601,570,"District 1 - Northeast California"
0641,0,"District 41 - Riverside-Moreno Valley"
0653,434,"District 53 - Mission Valley-El Cajon"
0621,0,"District 21 - San Benito County"
0612,529,"District 12 - San Francisco"
0634,234,"District 34 - Downtown Los Angeles"
0604,545,"District 4 - Roseville-Southern Sierra"
0648,415,"District 48 - Huntington Beach"
0630,319,"District 30 - West San Fernando Valley"
0616,0,"District 16 - Merced-Fresno"
0624,366,"District 24 - Paso Robles-Santa Barbara"
0642,309,"District 42 - Corona-Temecula"
0620,351,"District 20 - Santa Cruz-Monterey"
0607,281,"District 7 - East Sacramento County"
0608,1023,"District 8 - East Yosemite-Mohave"
